tanggal,pasar,komoditas,harga
2026-08-13,Pasar Baleendah,DAGING SAPI LOKAL PAHA BELAKANG,140000.0
2026-08-13,Pasar Baleendah,DAGING SAPI LOKAL PAHA DEPAN,135000.0
2026-08-13,Pasar Baleendah,DAGING SAPI LOKAL SANDUNG LAMUR,120000.0
2026-08-13,Pasar Baleendah,DAGING SAPI LOKAL TETELAN,70000.0
2026-08-13,Pasar Baleendah,DAGING SAPI MURNI,140000.0
2026-08-13,Pasar Baleendah,GARAM BATA,16000.0
2026-08-13,Pasar Baleendah,GARAM HALUS YODIUM,2500.0
2026-08-13,Pasar Baleendah,GAS LPG 3 Kg,23000.0
2026-08-13,Pasar Baleendah,GULA MERAH,23000.0
2026-08-13,Pasar Baleendah,GULA PASIR GULA KU,20000.0
2026-08-13,Pasar Baleendah,GULA PASIR LOKAL,19000.0
2026-08-13,Pasar Baleendah,IKAN BANDENG,45000.0
2026-08-13,Pasar Baleendah,Ikan Bawal Air Tawar,30000.0
2026-08-13,Pasar Baleendah,Ikan Gurame,55000.0
2026-08-13,Pasar Baleendah,IKAN KEMBUNG,55000.0
2026-08-13,Pasar Baleendah,Ikan Lele,31000.0
2026-08-13,Pasar Baleendah,IKAN MAS,27000.0
2026-08-13,Pasar Baleendah,Ikan Nila,35000.0
2026-08-13,Pasar Baleendah,Ikan Patin,30000.0
2026-08-13,Pasar Baleendah,IKAN TONGKOL,45000.0
2026-08-13,Pasar Baleendah,JAGUNG MANIS,14000.0
2026-08-13,Pasar Baleendah,JAGUNG PIPILAN,20000.0
2026-08-13,Pasar Baleendah,JERUK,20000.0
2026-08-13,Pasar Baleendah,KACANG HIJAU,32000.0
2026-08-13,Pasar Baleendah,KACANG KEDELAI IMPOR,20000.0
2026-08-13,Pasar Baleendah,KACANG KEDELAI LOKAL,14000.0
2026-08-13,Pasar Baleendah,KACANG PANJANG,20000.0
2026-08-13,Pasar Baleendah,KACANG TANAH KUPAS,38000.0
2026-08-13,Pasar Baleendah,KANGKUNG,1000.0
2026-08-13,Pasar Baleendah,KENTANG DIENG,18000.0
2026-08-13,Pasar Baleendah,KETELA POHON,5000.0
2026-08-13,Pasar Baleendah,MELON,18000.0
2026-08-13,Pasar Baleendah,MIE INSTAN INDOMIE,3000.0
2026-08-13,Pasar Baleendah,MINYAK BIMOLI,
2026-08-13,Pasar Baleendah,MINYAK CURAH,21500.0
2026-08-13,Pasar Baleendah,MINYAKITA,21000.0
2026-08-13,Pasar Baleendah,MINYAK SANIA,22000.0
2026-08-13,Pasar Baleendah,PAKCOY,10000.0
2026-08-13,Pasar Baleendah,PEPAYA,14000.0
2026-08-13,Pasar Baleendah,PISANG,6500.0
2026-08-13,Pasar Baleendah,SAWI PUTIH,7000.0
2026-08-13,Pasar Baleendah,SAYURAN BUNCIS,24000.0
2026-08-13,Pasar Baleendah,SAYURAN KENTANG LOKAL,15000.0
2026-08-13,Pasar Baleendah,SAYURAN KOL/KUBIS,7000.0
2026-08-13,Pasar Baleendah,SAYURAN TOMAT,8000.0
2026-08-13,Pasar Baleendah,SAYURAN WORTEL,16000.0
2026-08-13,Pasar Baleendah,SKM BENDERA,12500.0
2026-08-13,Pasar Baleendah,SKM CAP ENAK,10000.0
2026-08-13,Pasar Baleendah,SKM INDOMILK,11500.0
2026-08-13,Pasar Baleendah,SUSU BALITA (SGM),41600.0
2026-08-13,Pasar Baleendah,SUSU BUBUK DANCOW VANILA,50100.0
2026-08-13,Pasar Baleendah,TAHU,12000.0
2026-08-13,Pasar Baleendah,TELUR AYAM BROILER,25000.0
2026-08-13,Pasar Baleendah,TELUR AYAM KAMPUNG,3000.0
2026-08-13,Pasar Baleendah,TEMPE,12000.0
2026-08-13,Pasar Baleendah,TERIGU CAKRA KEMBAR,11500.0
2026-08-13,Pasar Baleendah,TERIGU CURAH,10000.0
2026-08-13,Pasar Baleendah,TERIGU KUNCI BIRU,11000.0
2026-08-13,Pasar Baleendah,TERIGU SEGITIGA BIRU,11000.0
2026-08-13,Pasar Baleendah,TERI KERITING,80000.0
2026-08-13,Pasar Baleendah,TERI MEDAN,140000.0
2026-08-13,Pasar Baleendah,TIMUN,12000.0
2026-08-13,Pasar Baleendah,TOMAT HIJAU,8000.0
2026-08-13,Pasar Baleendah,UBI JALAR PUTIH,8000.0
2026-08-13,Pasar Baleendah,UDANG,70000.0
2026-08-13,Pasar Stasiun Majalaya,BAWANG BOMBAY,38000.0
2026-08-13,Pasar Stasiun Majalaya,BAWANG DAUN,14000.0
2026-08-13,Pasar Stasiun Majalaya,BAWANG MERAH,36000.0
2026-08-13,Pasar Stasiun Majalaya,BAWANG MERAH BATU,32000.0
2026-08-13,Pasar Stasiun Majalaya,BAWANG PUTIH BIASA,36000.0
2026-08-13,Pasar Stasiun Majalaya,BAWANG PUTIH KATING,
2026-08-13,Pasar Stasiun Majalaya,BAWANG SUMENEP,50000.0
2026-08-13,Pasar Stasiun Majalaya,BAYAM,3000.0
2026-08-13,Pasar Stasiun Majalaya,BERAS IR. 64,
2026-08-13,Pasar Stasiun Majalaya,BERAS MEDIUM,15000.0
2026-08-13,Pasar Stasiun Majalaya,BERAS PREMIUM,16000.0
2026-08-13,Pasar Stasiun Majalaya,CABE HIJAU BIASA,24000.0
2026-08-13,Pasar Stasiun Majalaya,CABE MERAH KERITING,40000.0
2026-08-13,Pasar Stasiun Majalaya,CABE MERAH TANJUNG,100000.0
2026-08-13,Pasar Stasiun Majalaya,CABE MERAH TW,
2026-08-13,Pasar Stasiun Majalaya,CABE RAWIT HIJAU,50000.0
2026-08-13,Pasar Stasiun Majalaya,CABE RAWIT MERAH,45000.0
2026-08-13,Pasar Stasiun Majalaya,DAGING AYAM BROILER,44000.0
2026-08-13,Pasar Stasiun Majalaya,DAGING AYAM KAMPUNG,80000.0
2026-08-13,Pasar Stasiun Majalaya,DAGING SAPI IMPOR BEKU,130000.0
2026-08-13,Pasar Stasiun Majalaya,DAGING SAPI LOKAL HAS DALAM,150000.0
2026-08-13,Pasar Stasiun Majalaya,DAGING SAPI LOKAL HAS LUAR,140000.0
2026-08-13,Pasar Stasiun Majalaya,DAGING SAPI LOKAL PAHA BELAKANG,140000.0
