tanggal,pasar,curah_hujan_mm,suhu_avg,suhu_max,suhu_min
2025-07-31,Pasar Margahayu,0.0,23.9,29.7,19.4
2025-08-01,Pasar Margahayu,0.3,23.3,29.6,17.1
2025-08-02,Pasar Margahayu,0.0,23.4,29.8,16.9
2025-08-03,Pasar Margahayu,0.4,22.8,29.6,16.9
2025-08-04,Pasar Margahayu,6.3,23.1,28.2,20.1
2025-08-05,Pasar Margahayu,1.5,23.1,29.4,18.3
2025-08-06,Pasar Margahayu,0.1,23.1,28.7,18.4
2025-08-07,Pasar Margahayu,0.0,23.6,29.8,19.0
2025-08-08,Pasar Margahayu,0.0,23.9,29.2,19.5
2025-08-09,Pasar Margahayu,0.8,23.5,29.2,20.2
2025-08-10,Pasar Margahayu,0.2,23.6,30.8,17.5
2025-08-11,Pasar Margahayu,0.7,22.6,28.4,17.7
2025-08-12,Pasar Margahayu,1.0,22.4,26.7,19.6
2025-08-13,Pasar Margahayu,6.3,22.1,28.2,17.6
2025-08-14,Pasar Margahayu,14.5,22.2,27.3,19.1
2025-08-15,Pasar Margahayu,0.0,22.0,28.9,16.3
2025-08-16,Pasar Margahayu,0.3,22.3,29.6,15.8
2025-08-17,Pasar Margahayu,0.0,23.0,29.7,16.8
2025-08-18,Pasar Margahayu,5.1,22.3,28.9,16.8
2025-08-19,Pasar Margahayu,3.2,22.3,27.0,19.3
2025-08-20,Pasar Margahayu,4.2,23.0,27.4,19.9
2025-08-21,Pasar Margahayu,0.6,23.1,27.6,20.4
2025-08-22,Pasar Margahayu,4.3,22.8,28.7,18.3
2025-08-23,Pasar Margahayu,0.0,23.1,28.6,16.8
2025-08-24,Pasar Margahayu,0.0,23.8,29.3,18.2
2025-08-25,Pasar Margahayu,0.7,22.7,28.6,17.3
2025-08-26,Pasar Margahayu,0.0,21.7,29.7,14.7
2025-08-27,Pasar Margahayu,0.9,21.9,30.2,14.0
2025-08-28,Pasar Margahayu,0.8,23.8,30.2,19.1
2025-08-29,Pasar Margahayu,1.9,23.7,30.7,19.3
2025-08-30,Pasar Margahayu,3.2,23.6,29.7,19.3
2025-08-31,Pasar Margahayu,1.2,23.3,27.2,20.3
2025-09-01,Pasar Margahayu,0.2,24.4,30.9,19.6
2025-09-02,Pasar Margahayu,0.2,23.4,30.1,17.3
2025-09-03,Pasar Margahayu,0.0,23.9,31.5,17.5
2025-09-04,Pasar Margahayu,0.0,24.0,31.9,16.9
2025-09-05,Pasar Margahayu,22.8,22.3,28.6,18.1
2025-09-06,Pasar Margahayu,0.0,24.0,30.1,19.7
2025-09-07,Pasar Margahayu,0.0,22.7,29.5,16.6
2025-09-08,Pasar Margahayu,3.3,22.3,28.2,17.8
2025-09-09,Pasar Margahayu,8.7,22.3,29.3,18.8
2025-09-10,Pasar Margahayu,10.4,23.2,29.2,19.4
2025-09-11,Pasar Margahayu,13.2,22.8,25.2,20.6
2025-09-12,Pasar Margahayu,4.6,23.3,27.2,20.5
2025-09-13,Pasar Margahayu,0.0,23.8,30.4,17.8
2025-09-14,Pasar Margahayu,0.0,23.5,30.1,16.6
2025-09-15,Pasar Margahayu,0.0,23.6,30.7,16.8
2025-09-16,Pasar Margahayu,1.2,23.2,29.8,18.1
2025-09-17,Pasar Margahayu,1.9,23.1,28.4,19.7
2025-09-18,Pasar Margahayu,0.3,23.0,27.9,20.0
2025-09-19,Pasar Margahayu,5.0,23.0,29.2,18.9
2025-09-20,Pasar Margahayu,15.2,22.9,28.8,19.3
2025-09-21,Pasar Margahayu,4.0,23.1,29.2,18.5
2025-09-22,Pasar Margahayu,0.0,24.3,32.4,17.8
2025-09-23,Pasar Margahayu,0.0,24.3,31.8,17.2
2025-09-24,Pasar Margahayu,0.0,24.0,31.1,17.4
2025-09-25,Pasar Margahayu,1.0,23.7,30.4,18.4
2025-09-26,Pasar Margahayu,3.2,24.9,30.7,20.1
2025-09-27,Pasar Margahayu,0.4,25.0,30.6,20.3
2025-09-28,Pasar Margahayu,0.4,24.6,30.5,19.3
2025-09-29,Pasar Margahayu,6.2,22.8,28.4,18.8
2025-09-30,Pasar Margahayu,1.9,23.7,29.2,20.0
2025-10-01,Pasar Margahayu,6.7,23.6,29.6,19.0
2025-10-02,Pasar Margahayu,18.2,22.5,28.7,19.4
2025-10-03,Pasar Margahayu,0.0,24.3,30.2,19.5
2025-10-04,Pasar Margahayu,0.2,24.7,33.1,18.5
2025-10-05,Pasar Margahayu,0.1,23.6,32.1,17.7
2025-10-06,Pasar Margahayu,0.1,24.5,31.0,18.0
2025-10-07,Pasar Margahayu,0.0,24.1,31.2,18.6
2025-10-08,Pasar Margahayu,0.4,23.9,31.9,17.2
2025-10-09,Pasar Margahayu,0.0,23.7,31.8,16.0
2025-10-10,Pasar Margahayu,0.5,24.4,30.3,19.8
2025-10-11,Pasar Margahayu,1.6,23.7,30.0,18.3
2025-10-12,Pasar Margahayu,0.2,25.1,31.4,18.0
2025-10-13,Pasar Margahayu,10.2,24.2,30.3,18.7
