pasar,komoditas,tanggal_anchor,harga_terakhir,tanggal_target_h1,pred_model_h1,pred_baseline_h1,mae_model_hist_h1,mae_baseline_hist_h1,model_lebih_buruk_pct_h1,tanggal_target_h3,pred_model_h3,pred_baseline_h3,mae_model_hist_h3,mae_baseline_hist_h3,model_lebih_buruk_pct_h3,tanggal_target_h7,pred_model_h7,pred_baseline_h7,mae_model_hist_h7,mae_baseline_hist_h7,model_lebih_buruk_pct_h7
Pasar Sehat Soreang,CABE RAWIT MERAH,2026-09-10,75000.0,2026-09-11,75460,75000,619,484,28.0,2026-09-13,77593,75000,1251,979,27.7,2026-09-17,73888,75000,2000,1632,22.6
Pasar Stasiun Majalaya,CABE RAWIT MERAH,2026-09-10,80000.0,2026-09-11,80589,80000,619,484,28.0,2026-09-13,86980,80000,1251,979,27.7,2026-09-17,93748,80000,2000,1632,22.6
Pasar Baleendah,JAGUNG MANIS,2026-09-10,16000.0,2026-09-11,15978,16000,619,484,28.0,2026-09-13,15733,16000,1251,979,27.7,2026-09-17,15263,16000,2000,1632,22.6
Pasar Banjaran,JAGUNG MANIS,2026-09-09,15000.0,2026-09-10,14971,15000,619,484,28.0,2026-09-12,14621,15000,1251,979,27.7,2026-09-16,14219,15000,2000,1632,22.6
Pasar Baru Majalaya,JAGUNG MANIS,2026-09-10,10000.0,2026-09-11,10020,10000,619,484,28.0,2026-09-13,10007,10000,1251,979,27.7,2026-09-17,9884,10000,2000,1632,22.6
Pasar Cileunyi,JAGUNG MANIS,2026-09-10,15000.0,2026-09-11,14975,15000,619,484,28.0,2026-09-13,14705,15000,1251,979,27.7,2026-09-17,14518,15000,2000,1632,22.6
Pasar Ciwidey,JAGUNG MANIS,2026-09-10,13000.0,2026-09-11,12960,13000,619,484,28.0,2026-09-13,12903,13000,1251,979,27.7,2026-09-17,12714,13000,2000,1632,22.6
Pasar Margahayu,JAGUNG MANIS,2026-09-10,16000.0,2026-09-11,15989,16000,619,484,28.0,2026-09-13,15828,16000,1251,979,27.7,2026-09-17,15684,16000,2000,1632,22.6
Pasar Sehat Cicalengka,JAGUNG MANIS,2026-09-10,15000.0,2026-09-11,14992,15000,619,484,28.0,2026-09-13,14846,15000,1251,979,27.7,2026-09-17,14635,15000,2000,1632,22.6
Pasar Sehat Soreang,JAGUNG MANIS,2026-09-10,15000.0,2026-09-11,14966,15000,619,484,28.0,2026-09-13,14669,15000,1251,979,27.7,2026-09-17,14225,15000,2000,1632,22.6
Pasar Stasiun Majalaya,JAGUNG MANIS,2026-09-10,12000.0,2026-09-11,12007,12000,619,484,28.0,2026-09-13,11963,12000,1251,979,27.7,2026-09-17,11784,12000,2000,1632,22.6
Pasar Baleendah,JERUK,2026-09-10,22000.0,2026-09-11,22014,22000,619,484,28.0,2026-09-13,22013,22000,1251,979,27.7,2026-09-17,21946,22000,2000,1632,22.6
Pasar Banjaran,JERUK,2026-09-09,22000.0,2026-09-10,22020,22000,619,484,28.0,2026-09-12,22022,22000,1251,979,27.7,2026-09-16,21961,22000,2000,1632,22.6
Pasar Baru Majalaya,JERUK,2026-09-10,35000.0,2026-09-11,35014,35000,619,484,28.0,2026-09-13,34752,35000,1251,979,27.7,2026-09-17,34771,35000,2000,1632,22.6
Pasar Cileunyi,JERUK,2026-09-10,25000.0,2026-09-11,25011,25000,619,484,28.0,2026-09-13,24960,25000,1251,979,27.7,2026-09-17,24970,25000,2000,1632,22.6
Pasar Ciwidey,JERUK,2026-09-10,22000.0,2026-09-11,21996,22000,619,484,28.0,2026-09-13,22018,22000,1251,979,27.7,2026-09-17,21950,22000,2000,1632,22.6
Pasar Margahayu,JERUK,2026-09-10,25000.0,2026-09-11,25025,25000,619,484,28.0,2026-09-13,24988,25000,1251,979,27.7,2026-09-17,25081,25000,2000,1632,22.6
Pasar Sehat Cicalengka,JERUK,2026-09-10,22000.0,2026-09-11,22013,22000,619,484,28.0,2026-09-13,22018,22000,1251,979,27.7,2026-09-17,21966,22000,2000,1632,22.6
Pasar Sehat Soreang,JERUK,2026-09-10,22000.0,2026-09-11,22014,22000,619,484,28.0,2026-09-13,22025,22000,1251,979,27.7,2026-09-17,21979,22000,2000,1632,22.6
Pasar Stasiun Majalaya,JERUK,2026-09-10,30000.0,2026-09-11,30015,30000,619,484,28.0,2026-09-13,29806,30000,1251,979,27.7,2026-09-17,29916,30000,2000,1632,22.6
Pasar Baleendah,KACANG HIJAU,2026-09-10,32000.0,2026-09-11,32010,32000,619,484,28.0,2026-09-13,31932,32000,1251,979,27.7,2026-09-17,31980,32000,2000,1632,22.6
Pasar Banjaran,KACANG HIJAU,2026-09-09,40000.0,2026-09-10,40008,40000,619,484,28.0,2026-09-12,39808,40000,1251,979,27.7,2026-09-16,40448,40000,2000,1632,22.6
Pasar Baru Majalaya,KACANG HIJAU,2026-09-10,36000.0,2026-09-11,36021,36000,619,484,28.0,2026-09-13,35881,36000,1251,979,27.7,2026-09-17,35959,36000,2000,1632,22.6
Pasar Cileunyi,KACANG HIJAU,2026-09-10,38000.0,2026-09-11,38009,38000,619,484,28.0,2026-09-13,37983,38000,1251,979,27.7,2026-09-17,38051,38000,2000,1632,22.6
Pasar Ciwidey,KACANG HIJAU,2026-09-10,36000.0,2026-09-11,36002,36000,619,484,28.0,2026-09-13,35853,36000,1251,979,27.7,2026-09-17,36173,36000,2000,1632,22.6
